,Districts,Count
306,Morbi,24
307,Shahjahanpur,24
308,Koppal,24
309,Fatehgarh Sahib,24
310,Ramban,24
311,Medinipur West,24
312,Panch Mahals,24
313,Banka,24
314,Mayurbhanj,24
315,Moga,24
316,Kaimur (bhabua),23
317,Upper Subansiri,23
318,Dhalai,23
319,Mathura,23
320,Saharanpur,23
321,Banswara,23
322,West Nimar,23
323,Kendrapara,23
324,West Siang,23
325,Jehanabad,22
326,Rohtas,22
327,East Siang,22
328,Changlang,22
329,Yadgir,22
330,Banas Kantha,22
331,Panchkula,22
332,Baran,22
333,Hoshangabad,22
334,Gondiya,22
335,Reasi,22
336,Uttarkashi,22
337,Thiruvarur,22
338,Jind,22
339,Arwal,22
340,Yamunanagar,22
341,Pilibhit,22
342,Dhule,22
343,Kishtwar,22
344,Upper Siang,22
345,Lower Dibang Valley,22
346,Etah,21
347,Y.S.R.,21
348,Mainpuri,21
349,Madurai,21
350,Srikakulam,21
351,Chikkamagaluru,21
352,Sheikhpura,21
353,Budaun,21
354,Ganderbal,21
355,Kupwara,21
356,Kra Daadi,21
357,Banda,21
358,East East Kameng,21
359,Karnal,21
360,Bulandshahr,20
361,Amethi,20
362,Upper Dibang Valley,20
363,Vidisha,20
364,Dhenkanal,20
365,Almora,20
366,Ranchi,20
367,Kannauj,20
368,Pathankot,20
369,Belagavi,20
370,Khowai,20
371,Fazilka,20
372,Mahesana,20
373,Jamui,20
374,Anjaw,20
375,Sri Muktsar Sahib,20
376,Balaghat,20
377,Ujjain,20
378,Itanagar,20
379,Bhilwara,20
380,Lower Subansiri,20
381,Firozabad,20
382,Tonk,20
383,Sagar,20
384,Thiruvallur,20
385,Jalaun,20
386,Sahibzada Ajit Singh Nag**,20
387,Sirsa,19
388,Aizawl,19
389,Dindigul,19
390,Barnala,19
391,Bagalkote,19
392,West Karbi Anglong,19
393,Sipahijala,19
394,Gomati,19
395,Thoothukkudi,19
396,Birbhum,19
397,Sawai Madhopur,19
398,Ganganagar,19
399,Gandhinagar,19
400,Rampur,19
401,Patan,19
402,Nandurbar,19
403,Barmer,19
404,Rudraprayag,19
405,Ambedkar Nagar,19
406,Tirunelvelii,19
407,Ghaziabad,19
408,Kaushambi,19
409,Tumkur,19
410,Chandigarh,19
411,Longding,19
412,Mancachar,19
413,Unokoti,19
414,North  District,19
415,West District,19
416,Tarn Taran,19
417,Shahid Bhagat Singh Nagar,18
418,Bijnor,18
419,Sirohi,18
420,Tirap,18
421,Vellore,18
422,Sant Kabir Nagar,18
423,Krishnagiri,18
424,Dhaulpur,18
425,East,18
426,North,18
427,Kurukshetra,18
428,West Garo Hills,18
429,Nalgonda,18
430,Medak,18
431,Sehore,18
432,Betul,18
433,Chittoor,18
434,Hisar,18
435,Rohtak,18
436,Pudukkottai,18
437,North Goa,18
438,South Goa,18
439,South District,18
440,Nayagarh,18
441,Nainital,18
442,Aligarh,17
443,Namsai,17
444,Siang,17
445,Kamle,17
446,Sambhal,17
447,Mahabubnagar,17
448,Shrawasti,17
449,Bhiwani,17
450,Panipat,17
451,Faridabad,16
452,Gwalior,16
453,Seoni,16
454,Lower Siang,16
455,East Khasi Hills,16
456,Shi Yomi,16
457,Salem,16
458,Rewa,16
459,Vizianagaram,16
460,Erode,16
461,Siddharthnagarnagar,16
462,Badgam,16
463,Malkangiri,16
464,Sikar,16
465,Kanniyakumari,16
466,Khordha,16
467,Dhar,16
468,Amroha,16
469,Gajapati,16
470,Auraiya,16
471,Mau,16
472,Sonbhadra,16
473,Gautam Buddha Nagar,16
474,Chitrakoot,16
475,Bandipore,16
476,Jajapur,16
477,Perambalur,15
478,Jagatsinghapur,15
479,Dharmapuri,15
480,Kamrup Metropolitan,15
481,Kancheepuram,15
482,Tumakuru,15
483,Shupiyan,15
484,Kulgam,15
485,West,15
486,Baghpat,15
487,Churu,15
488,Nagaur,15
489,South West,15
490,Jalor,15
491,Gondia,15
492,Ramanathapuram,15
493,Baudh,15
494,Anand,15
495,North East,15
496,Samba,15
497,Anantapur,15
498,Kushinagar,15
499,Central,15
500,Rayagada,14
501,North West,14
502,Aravalli,14
503,Ariyalur,14
504,South East,14
505,South,14
506,Rajgarh,14
507,Virudhunagar,14
